{'cq': '1', 'h2': 618, 'c2': 770, 'h3': 590, 'c3': 770, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824865, 'hq': '1', 't1': 248, 't3': 248, 'h1': 590, 'c1': 770}
{'cq': '1', 'h2': 617, 'c2': 768, 'h3': 589, 'c3': 770, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824905, 'hq': '1', 't1': 248, 't3': 248, 'h1': 589, 'c1': 770}
{'cq': '1', 'h2': 617, 'c2': 768, 'h3': 591, 'c3': 771, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824908, 'hq': '1', 't1': 248, 't3': 248, 'h1': 591, 'c1': 771}
{'cq': '1', 'h2': 617, 'c2': 769, 'h3': 591, 'c3': 771, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824911, 'hq': '1', 't1': 248, 't3': 248, 'h1': 591, 'c1': 771}
{'cq': '1', 'h2': 617, 'c2': 769, 'h3': 591, 'c3': 768, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824946, 'hq': '1', 't1': 248, 't3': 248, 'h1': 591, 'c1': 768}
{'cq': '1', 'h2': 617, 'c2': 769, 'h3': 589, 'c3': 768, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824949, 'hq': '1', 't1': 248, 't3': 248, 'h1': 589, 'c1': 768}
{'cq': '1', 'h2': 616, 'c2': 769, 'h3': 585, 'c3': 768, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824993, 'hq': '1', 't1': 247, 't3': 247, 'h1': 585, 'c1': 768}
{'cq': '1', 'h2': 615, 'c2': 768, 'h3': 587, 'c3': 768, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824996, 'hq': '1', 't1': 248, 't3': 248, 'h1': 587, 'c1': 768}
{'cq': '1', 'h2': 616, 'c2': 768, 'h3': 591, 'c3': 767, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824999, 'hq': '1', 't1': 248, 't3': 248, 'h1': 591, 'c1': 767}
{'cq': '1', 'h2': 615, 'c2': 768, 'h3': 592, 'c3': 768, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562825026, 'hq': '1', 't1': 248, 't3': 248, 'h1': 592, 'c1': 768}
{'cq': '1', 'h2': 616, 'c2': 766, 'h3': 592, 'c3': 769, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562825029, 'hq': '1', 't1': 248, 't3': 248, 'h1': 592, 'c1': 769}
{'cq': '1', 'h2': 617, 'c2': 768, 'h3': 600, 'c3': 770, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562825071, 'hq': '1', 't1': 248, 't3': 248, 'h1': 600, 'c1': 770}
{'cq': '1', 'h2': 617, 'c2': 768, 'h3': 604, 'c3': 770, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562825074, 'hq': '1', 't1': 248, 't3': 248, 'h1': 604, 'c1': 770}
{'cq': '1', 'h2': 617, 'c2': 768, 'h3': 600, 'c3': 770, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562825077, 'hq': '1', 't1': 248, 't3': 248, 'h1': 600, 'c1': 770}
{'cq': '1', 'h2': 616, 'c2': 769, 'h3': 597, 'c3': 765, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562825128, 'hq': '1', 't1': 247, 't3': 247, 'h1': 597, 'c1': 765}
{'cq': '1', 'h2': 616, 'c2': 769, 'h3': 596, 'c3': 765, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562825131, 'hq': '1', 't1': 247, 't3': 247, 'h1': 596, 'c1': 765}
{'cq': '1', 'h2': 616, 'c2': 770, 'h3': 591, 'c3': 765, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562825159, 'hq': '1', 't1': 247, 't3': 247, 'h1': 591, 'c1': 765}
{'cq': '1', 'h2': 616, 'c2': 770, 'h3': 593, 'c3': 764, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562825162, 'hq': '1', 't1': 247, 't3': 247, 'h1': 593, 'c1': 764}
{'cq': '1', 'h2': 616, 'c2': 770, 'h3': 599, 'c3': 764, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562825165, 'hq': '1', 't1': 247, 't3': 247, 'h1': 599, 'c1': 764}
{'cq': '1', 'h2': 616, 'c2': 770, 'h3': 589, 'c3': 769, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562825264, 'hq': '1', 't1': 247, 't3': 247, 'h1': 589, 'c1': 769}
{'cq': '1', 'h2': 616, 'c2': 769, 'h3': 592, 'c3': 769, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562825267, 'hq': '1', 't1': 247, 't3': 247, 'h1': 592, 'c1': 769}
{'cq': '1', 'h2': 617, 'c2': 765, 'h3': 593, 'c3': 769, 'tq': '1', 'wn': '0b0', 't2': 234, 'tm': 1562825289, 'hq': '1', 't1': 247, 't3': 247, 'h1': 593, 'c1': 769}
{'cq': '1', 'h2': 617, 'c2': 765, 'h3': 593, 'c3': 769, 'tq': '1', 'wn': '0b0', 't2': 234, 'tm': 1562825292, 'hq': '1', 't1': 247, 't3': 247, 'h1': 593, 'c1': 769}
{'cq': '1', 'h2': 617, 'c2': 764, 'h3': 594, 'c3': 768, 'tq': '1', 'wn': '0b0', 't2': 233, 'tm': 1562825295, 'hq': '1', 't1': 247, 't3': 247, 'h1': 594, 'c1': 768}
{'cq': '1', 'h2': 618, 'c2': 763, 'h3': 597, 'c3': 767, 'tq': '1', 'wn': '0b0', 't2': 234, 'tm': 1562825304, 'hq': '1', 't1': 247, 't3': 247, 'h1': 597, 'c1': 767}
{'cq': '1', 'h2': 618, 'c2': 762, 'h3': 598, 'c3': 767, 'tq': '1', 'wn': '0b0', 't2': 234, 'tm': 1562825307, 'hq': '1', 't1': 247, 't3': 247, 'h1': 598, 'c1': 767}
{'cq': '1', 'h2': 619, 'c2': 761, 'h3': 598, 'c3': 766, 'tq': '1', 'wn': '0b0', 't2': 233, 'tm': 1562825329, 'hq': '1', 't1': 247, 't3': 247, 'h1': 598, 'c1': 766}
{'cq': '1', 'h2': 619, 'c2': 761, 'h3': 597, 'c3': 766, 'tq': '1', 'wn': '0b0', 't2': 233, 'tm': 1562825332, 'hq': '1', 't1': 247, 't3': 247, 'h1': 597, 'c1': 766}
{'cq': '1', 'h2': 619, 'c2': 761, 'h3': 595, 'c3': 765, 'tq': '1', 'wn': '0b0', 't2': 233, 'tm': 1562825335, 'hq': '1', 't1': 247, 't3': 247, 'h1': 595, 'c1': 765}
{'cq': '1', 'h2': 619, 'c2': 761, 'h3': 594, 'c3': 766, 'tq': '1', 'wn': '0b0', 't2': 233, 'tm': 1562825344, 'hq': '1', 't1': 247, 't3': 247, 'h1': 594, 'c1': 766}
{'cq': '1', 'h2': 619, 'c2': 761, 'h3': 592, 'c3': 766, 'tq': '1', 'wn': '0b0', 't2': 233, 'tm': 1562825347, 'hq': '1', 't1': 247, 't3': 247, 'h1': 592, 'c1': 766}
{'cq': '1', 'h2': 620, 'c2': 762, 'h3': 592, 'c3': 766, 'tq': '1', 'wn': '0b0', 't2': 233, 'tm': 1562825363, 'hq': '1', 't1': 247, 't3': 247, 'h1': 592, 'c1': 766}
{'cq': '1', 'h2': 619, 'c2': 762, 'h3': 593, 'c3': 765, 'tq': '1', 'wn': '0b0', 't2': 233, 'tm': 1562825366, 'hq': '1', 't1': 247, 't3': 247, 'h1': 593, 'c1': 765}
{'cq': '1', 'h2': 620, 'c2': 763, 'h3': 591, 'c3': 765, 'tq': '1', 'wn': '0b0', 't2': 233, 'tm': 1562825369, 'hq': '1', 't1': 247, 't3': 247, 'h1': 591, 'c1': 765}
{'cq': '1', 'h2': 620, 'c2': 763, 'h3': 589, 'c3': 762, 'tq': '1', 'wn': '0b0', 't2': 233, 'tm': 1562825386, 'hq': '1', 't1': 247, 't3': 247, 'h1': 589, 'c1': 762}
{'cq': '1', 'h2': 620, 'c2': 762, 'h3': 588, 'c3': 763, 'tq': '1', 'wn': '0b0', 't2': 233, 'tm': 1562825389, 'hq': '1', 't1': 247, 't3': 247, 'h1': 588, 'c1': 763}
{'cq': '1', 'h2': 619, 'c2': 765, 'h3': 601, 'c3': 763, 'tq': '1', 'wn': '0b0', 't2': 233, 'tm': 1562825399, 'hq': '1', 't1': 247, 't3': 247, 'h1': 601, 'c1': 763}
{'cq': '1', 'h2': 618, 'c2': 765, 'h3': 606, 'c3': 763, 'tq': '1', 'wn': '0b0', 't2': 233, 'tm': 1562825402, 'hq': '1', 't1': 247, 't3': 247, 'h1': 606, 'c1': 763}
{'cq': '1', 'h2': 618, 'c2': 765, 'h3': 605, 'c3': 763, 'tq': '1', 'wn': '0b0', 't2': 233, 'tm': 1562825405, 'hq': '1', 't1': 247, 't3': 247, 'h1': 605, 'c1': 763}
{'cq': '1', 'h2': 618, 'c2': 766, 'h3': 586, 'c3': 763, 'tq': '1', 'wn': '0b0', 't2': 233, 'tm': 1562825494, 'hq': '1', 't1': 247, 't3': 247, 'h1': 586, 'c1': 763}
{'cq': '1', 'h2': 618, 'c2': 766, 'h3': 586, 'c3': 763, 'tq': '1', 'wn': '0b0', 't2': 233, 'tm': 1562825497, 'hq': '1', 't1': 247, 't3': 247, 'h1': 586, 'c1': 763}
{'cq': '1', 'h2': 616, 'c2': 768, 'h3': 586, 'c3': 763, 'tq': '1', 'wn': '0b0', 't2': 234, 'tm': 1562825509, 'hq': '1', 't1': 247, 't3': 247, 'h1': 586, 'c1': 763}
{'cq': '1', 'h2': 616, 'c2': 768, 'h3': 585, 'c3': 763, 'tq': '1', 'wn': '0b0', 't2': 234, 'tm': 1562825512, 'hq': '1', 't1': 247, 't3': 247, 'h1': 585, 'c1': 763}
{'cq': '1', 'h2': 617, 'c2': 766, 'h3': 584, 'c3': 762, 'tq': '1', 'wn': '0b0', 't2': 234, 'tm': 1562825515, 'hq': '1', 't1': 247, 't3': 247, 'h1': 584, 'c1': 762}
{'cq': '1', 'h2': 616, 'c2': 766, 'h3': 598, 'c3': 764, 'tq': '1', 'wn': '0b0', 't2': 234, 'tm': 1562825548, 'hq': '1', 't1': 247, 't3': 247, 'h1': 598, 'c1': 764}
{'cq': '1', 'h2': 616, 'c2': 766, 'h3': 596, 'c3': 764, 'tq': '1', 'wn': '0b0', 't2': 234, 'tm': 1562825551, 'hq': '1', 't1': 247, 't3': 247, 'h1': 596, 'c1': 764}
{'cq': '1', 'h2': 615, 'c2': 765, 'h3': 591, 'c3': 765, 'tq': '1', 'wn': '0b0', 't2': 234, 'tm': 1562825565, 'hq': '1', 't1': 247, 't3': 247, 'h1': 591, 'c1': 765}
{'cq': '1', 'h2': 616, 'c2': 766, 'h3': 590, 'c3': 765, 'tq': '1', 'wn': '0b0', 't2': 234, 'tm': 1562825568, 'hq': '1', 't1': 247, 't3': 247, 'h1': 590, 'c1': 765}
{'cq': '1', 'h2': 616, 'c2': 766, 'h3': 589, 'c3': 765, 'tq': '1', 'wn': '0b0', 't2': 234, 'tm': 1562825571, 'hq': '1', 't1': 247, 't3': 247, 'h1': 589, 'c1': 765}
{'cq': '1', 'h2': 616, 'c2': 766, 'h3': 586, 'c3': 764, 'tq': '1', 'wn': '0b0', 't2': 234, 'tm': 1562825612, 'hq': '1', 't1': 246, 't3': 246, 'h1': 586, 'c1': 764}
{'cq': '1', 'h2': 615, 'c2': 766, 'h3': 589, 'c3': 763, 'tq': '1', 'wn': '0b0', 't2': 234, 'tm': 1562825615, 'hq': '1', 't1': 246, 't3': 246, 'h1': 589, 'c1': 763}
{'cq': '1', 'h2': 616, 'c2': 765, 'h3': 590, 'c3': 762, 'tq': '1', 'wn': '0b0', 't2': 234, 'tm': 1562825625, 'hq': '1', 't1': 247, 't3': 247, 'h1': 590, 'c1': 762}
{'cq': '1', 'h2': 617, 'c2': 765, 'h3': 595, 'c3': 762, 'tq': '1', 'wn': '0b0', 't2': 234, 'tm': 1562825628, 'hq': '1', 't1': 247, 't3': 247, 'h1': 595, 'c1': 762}
{'cq': '1', 'h2': 617, 'c2': 765, 'h3': 600, 'c3': 761, 'tq': '1', 'wn': '0b0', 't2': 234, 'tm': 1562825631, 'hq': '1', 't1': 247, 't3': 247, 'h1': 600, 'c1': 761}
{'cq': '1', 'h2': 617, 'c2': 765, 'h3': 591, 'c3': 762, 'tq': '1', 'wn': '0b0', 't2': 234, 'tm': 1562825664, 'hq': '1', 't1': 247, 't3': 247, 'h1': 591, 'c1': 762}
{'cq': '1', 'h2': 616, 'c2': 764, 'h3': 590, 'c3': 762, 'tq': '1', 'wn': '0b0', 't2': 234, 'tm': 1562825667, 'hq': '1', 't1': 247, 't3': 247, 'h1': 590, 'c1': 762}
